Question,Image,A,B,C,D,E,Answer,Logic
hc_732,hc_7_q32.png,AJ,AK,CJ,CK,CP,CK,"Q16 Style: Top=position, Bot=inner_shape"
hc_733,hc_7_q33.png,EQ,EZ,JQ,JU,MU,EQ,"Q16 Style: Top=position, Bot=inner_shape"
hc_734,hc_7_q34.png,BT,BV,WT,XG,XV,XV,"Q16 Style: Top=position, Bot=inner_shape"
hc_735,hc_7_q35.png,DV,WF,WV,WY,ZF,WF,"Q16 Style: Top=position, Bot=inner_shape"
hc_736,hc_7_q36.png,AH,AM,AS,WS,XS,WS,"Q16 Style: Top=position, Bot=inner_shape"
hc_737,hc_7_q37.png,BT,LX,SE,ST,SX,SX,"Q16 Style: Top=position, Bot=inner_shape"
hc_738,hc_7_q38.png,HR,LR,LX,TF,TX,LR,"Q16 Style: Top=position, Bot=inner_shape"
hc_739,hc_7_q39.png,RK,SK,WK,WL,WP,WL,"Q16 Style: Top=position, Bot=inner_shape"
hc_740,hc_7_q40.png,CA,CJ,MJ,YJ,YU,YJ,"Q16 Style: Top=position, Bot=inner_shape"
hc_741,hc_7_q41.png,LM,LZ,NY,NZ,TY,NY,"Q16 Style: Top=position, Bot=inner_shape"
hc_742,hc_7_q42.png,BT,CE,CT,PE,PK,CE,"Q16 Style: Top=position, Bot=inner_shape"
hc_743,hc_7_q43.png,HE,HS,HY,MS,VY,HE,"Q16 Style: Top=position, Bot=inner_shape"
hc_744,hc_7_q44.png,JC,JN,JU,TN,VC,JN,"Q16 Style: Top=position, Bot=inner_shape"
hc_745,hc_7_q45.png,QJ,VJ,VK,WK,WP,WP,"Q16 Style: Top=position, Bot=inner_shape"
hc_746,hc_7_q46.png,QD,UD,UP,WD,WK,QD,"Q16 Style: Top=position, Bot=inner_shape"
hc_747,hc_7_q47.png,BK,GE,GK,JE,JN,BK,"Q16 Style: Top=position, Bot=inner_shape"
hc_748,hc_7_q48.png,EC,ED,EZ,HZ,YZ,EC,"Q16 Style: Top=position, Bot=inner_shape"
hc_749,hc_7_q49.png,UA,UM,YA,YM,YS,UA,"Q16 Style: Top=position, Bot=inner_shape"
hc_750,hc_7_q50.png,QC,QW,RC,RW,RY,RC,"Q16 Style: Top=position, Bot=inner_shape"
hc_751,hc_7_q51.png,AK,DE,DT,SE,SK,DT,"Q17 Style: Top=direction, Bot=count"
hc_752,hc_7_q52.png,DN,DW,HW,PN,PW,HW,"Q17 Style: Top=direction, Bot=count"
hc_753,hc_7_q53.png,HB,HC,HL,KC,SC,SC,"Q17 Style: Top=direction, Bot=count"
hc_754,hc_7_q54.png,JC,WC,WD,XC,XQ,WD,"Q17 Style: Top=direction, Bot=count"
hc_755,hc_7_q55.png,EJ,LJ,LT,LV,YV,EJ,"Q17 Style: Top=direction, Bot=count"
hc_756,hc_7_q56.png,BD,BY,HD,HP,HY,HD,"Q17 Style: Top=direction, Bot=count"
hc_757,hc_7_q57.png,DK,DW,DZ,LK,LZ,DK,"Q17 Style: Top=direction, Bot=count"
hc_758,hc_7_q58.png,HB,HF,LX,VB,VF,VF,"Q17 Style: Top=direction, Bot=count"
hc_759,hc_7_q59.png,EA,ET,LY,WA,WY,WA,"Q17 Style: Top=direction, Bot=count"
hc_760,hc_7_q60.png,GH,GM,QK,QM,RH,QM,"Q17 Style: Top=direction, Bot=count"
hc_761,hc_7_q61.png,BH,BZ,FH,FL,TH,FL,"Q17 Style: Top=direction, Bot=count"
hc_762,hc_7_q62.png,CF,CU,MF,MU,SU,SU,"Q17 Style: Top=direction, Bot=count"
hc_763,hc_7_q63.png,AG,AX,JX,JY,NY,NY,"Q17 Style: Top=direction, Bot=count"
hc_764,hc_7_q64.png,CB,CL,FB,VB,VL,VB,"Q17 Style: Top=direction, Bot=count"
hc_765,hc_7_q65.png,BD,BJ,MZ,TD,TJ,TD,"Q17 Style: Top=direction, Bot=count"
hc_766,hc_7_q66.png,MA,RA,ZA,ZJ,ZV,ZV,"Q17 Style: Top=direction, Bot=count"
hc_767,hc_7_q67.png,NC,NL,NU,TC,WL,NU,"Q17 Style: Top=direction, Bot=count"
hc_768,hc_7_q68.png,AJ,AZ,LS,VS,VZ,VZ,"Q17 Style: Top=direction, Bot=count"
hc_769,hc_7_q69.png,GC,GH,LH,SC,SH,GH,"Q17 Style: Top=direction, Bot=count"
hc_770,hc_7_q70.png,CA,CL,CN,PL,YA,CA,"Q17 Style: Top=direction, Bot=count"
hc_771,hc_7_q71.png,JK,TW,XK,XR,XW,XW,"Q17 Style: Top=direction, Bot=count"
hc_772,hc_7_q72.png,GJ,NJ,ZJ,ZR,ZT,NJ,"Q17 Style: Top=direction, Bot=count"
hc_773,hc_7_q73.png,FE,FJ,KE,XD,XJ,KE,"Q17 Style: Top=direction, Bot=count"
hc_774,hc_7_q74.png,FA,FP,FX,RX,TA,FP,"Q17 Style: Top=direction, Bot=count"
hc_775,hc_7_q75.png,EF,EU,SF,SN,XN,SN,"Q17 Style: Top=direction, Bot=count"
hc_776,hc_7_q76.png,SK,SP,UE,UP,XK,SP,"Q17 Style: Top=direction, Bot=count"
hc_777,hc_7_q77.png,FR,FV,JV,YR,YV,YR,"Q17 Style: Top=direction, Bot=count"
hc_778,hc_7_q78.png,KE,MA,MG,ZA,ZG,MA,"Q17 Style: Top=direction, Bot=count"
hc_779,hc_7_q79.png,CF,LH,LK,SF,SH,LK,"Q17 Style: Top=direction, Bot=count"
hc_780,hc_7_q80.png,QH,QK,QS,UK,US,UK,"Q17 Style: Top=direction, Bot=count"
hc_781,hc_7_q81.png,MD,MT,VC,VD,XT,VC,"Q17 Style: Top=direction, Bot=count"
hc_782,hc_7_q82.png,GR,GS,GY,VR,VS,GR,"Q17 Style: Top=direction, Bot=count"
hc_783,hc_7_q83.png,AC,BT,UC,UT,UW,AC,"Q17 Style: Top=direction, Bot=count"
hc_784,hc_7_q84.png,RE,RQ,SJ,UJ,UQ,UJ,"Q17 Style: Top=direction, Bot=count"
hc_785,hc_7_q85.png,BA,BX,GC,GX,WX,GC,"Q17 Style: Top=direction, Bot=count"
hc_786,hc_7_q86.png,BE,BQ,NQ,XE,XH,BQ,"Q17 Style: Top=direction, Bot=count"
hc_787,hc_7_q87.png,AB,AG,AU,FB,TU,TU,"Q17 Style: Top=direction, Bot=count"
hc_788,hc_7_q88.png,FA,FK,LA,LK,PN,FA,"Q17 Style: Top=direction, Bot=count"
hc_789,hc_7_q89.png,LZ,TD,TU,TZ,YZ,TD,"Q17 Style: Top=direction, Bot=count"
hc_790,hc_7_q90.png,CJ,CY,GY,PJ,PY,CY,"Q17 Style: Top=direction, Bot=count"
hc_791,hc_7_q91.png,KR,LF,QD,QF,QR,LF,"Q17 Style: Top=direction, Bot=count"
hc_792,hc_7_q92.png,EM,GM,YF,YK,YM,EM,"Q17 Style: Top=direction, Bot=count"
hc_793,hc_7_q93.png,FA,FZ,PG,PZ,VZ,FA,"Q17 Style: Top=direction, Bot=count"
hc_794,hc_7_q94.png,LT,LZ,PT,PW,YZ,LZ,"Q17 Style: Top=direction, Bot=count"
hc_795,hc_7_q95.png,AB,AG,AX,CG,ZG,CG,"Q17 Style: Top=direction, Bot=count"
hc_796,hc_7_q96.png,QE,XE,ZE,ZH,ZR,ZE,"Q17 Style: Top=direction, Bot=count"
hc_797,hc_7_q97.png,CL,CZ,NF,NL,NZ,CL,"Q17 Style: Top=direction, Bot=count"
hc_798,hc_7_q98.png,DQ,TF,TK,UK,UQ,UK,"Q17 Style: Top=direction, Bot=count"
hc_799,hc_7_q99.png,DC,DL,KL,KM,QM,DL,"Q17 Style: Top=direction, Bot=count"
hc_800,hc_7_q100.png,BN,JR,JT,PR,PT,PT,"Q17 Style: Top=direction, Bot=count"
hc_801,hc_7_q101.png,BJ,PH,PJ,PX,VH,VH,"Q18 Style: Top=sector_pos, Bot=shading"
hc_802,hc_7_q102.png,ND,XD,XP,YD,YP,XD,"Q18 Style: Top=sector_pos, Bot=shading"
hc_803,hc_7_q103.png,VN,XN,XQ,YN,YQ,XN,"Q18 Style: Top=sector_pos, Bot=shading"
hc_804,hc_7_q104.png,AB,NB,NH,NP,ZB,NP,"Q18 Style: Top=sector_pos, Bot=shading"
hc_805,hc_7_q105.png,JL,MN,VF,VL,VN,MN,"Q18 Style: Top=sector_pos, Bot=shading"
hc_806,hc_7_q106.png,CQ,RG,RW,XQ,XW,XQ,"Q18 Style: Top=sector_pos, Bot=shading"
hc_807,hc_7_q107.png,EL,EP,HK,HP,ZK,ZK,"Q18 Style: Top=sector_pos, Bot=shading"
hc_808,hc_7_q108.png,FB,FU,QB,QU,QV,QU,"Q18 Style: Top=sector_pos, Bot=shading"
hc_809,hc_7_q109.png,GM,GS,JR,JS,YS,GM,"Q18 Style: Top=sector_pos, Bot=shading"
hc_810,hc_7_q110.png,ME,NC,NE,NK,PK,ME,"Q18 Style: Top=sector_pos, Bot=shading"
hc_811,hc_7_q111.png,LM,QM,QW,QZ,VZ,VZ,"Q18 Style: Top=sector_pos, Bot=shading"
hc_812,hc_7_q112.png,GA,GF,GV,RA,WF,GF,"Q18 Style: Top=sector_pos, Bot=shading"
hc_813,hc_7_q113.png,QB,UB,XB,XR,XW,UB,"Q18 Style: Top=sector_pos, Bot=shading"
hc_814,hc_7_q114.png,CD,CG,EL,JD,JL,CD,"Q18 Style: Top=sector_pos, Bot=shading"
hc_815,hc_7_q115.png,PH,PL,UH,UK,ZH,PH,"Q18 Style: Top=sector_pos, Bot=shading"
hc_816,hc_7_q116.png,RA,XA,XJ,YA,YJ,YA,"Q18 Style: Top=sector_pos, Bot=shading"
hc_817,hc_7_q117.png,QA,QU,RU,XA,XS,XA,"Q18 Style: Top=sector_pos, Bot=shading"
hc_818,hc_7_q118.png,JA,JV,XA,XV,YS,JV,"Q18 Style: Top=sector_pos, Bot=shading"
hc_819,hc_7_q119.png,RS,RV,WG,WS,WV,WS,"Q18 Style: Top=sector_pos, Bot=shading"
hc_820,hc_7_q120.png,CZ,PM,PZ,RB,RZ,PM,"Q18 Style: Top=sector_pos, Bot=shading"
hc_821,hc_7_q121.png,AE,CR,TE,TR,TY,TE,"Q18 Style: Top=sector_pos, Bot=shading"
hc_822,hc_7_q122.png,FC,FQ,FR,HR,JQ,FR,"Q18 Style: Top=sector_pos, Bot=shading"
hc_823,hc_7_q123.png,CD,CJ,CY,FJ,WY,FJ,"Q18 Style: Top=sector_pos, Bot=shading"
hc_824,hc_7_q124.png,WF,WQ,WR,YF,YR,WR,"Q18 Style: Top=sector_pos, Bot=shading"
hc_825,hc_7_q125.png,JU,VF,VU,YC,YU,VF,"Q18 Style: Top=sector_pos, Bot=shading"
hc_826,hc_7_q126.png,NJ,UE,UF,UJ,XJ,UE,"Q18 Style: Top=sector_pos, Bot=shading"
hc_827,hc_7_q127.png,CF,CP,DP,DQ,TP,CF,"Q18 Style: Top=sector_pos, Bot=shading"
hc_828,hc_7_q128.png,CL,FL,VL,VW,VY,FL,"Q18 Style: Top=sector_pos, Bot=shading"
hc_829,hc_7_q129.png,DT,EG,ET,PT,PU,DT,"Q18 Style: Top=sector_pos, Bot=shading"
hc_830,hc_7_q130.png,CM,CT,DM,DS,QT,QT,"Q18 Style: Top=sector_pos, Bot=shading"
hc_831,hc_7_q131.png,FU,LC,LU,LX,ZX,FU,"Q18 Style: Top=sector_pos, Bot=shading"
hc_832,hc_7_q132.png,NE,NR,WE,ZQ,ZR,NE,"Q18 Style: Top=sector_pos, Bot=shading"
hc_833,hc_7_q133.png,HF,HS,RF,RS,US,RF,"Q18 Style: Top=sector_pos, Bot=shading"
hc_834,hc_7_q134.png,CE,CZ,FE,FZ,GZ,CZ,"Q18 Style: Top=sector_pos, Bot=shading"
hc_835,hc_7_q135.png,CE,CK,CV,GE,XV,CV,"Q18 Style: Top=sector_pos, Bot=shading"
hc_836,hc_7_q136.png,TC,VB,VC,ZB,ZC,VB,"Q18 Style: Top=sector_pos, Bot=shading"
hc_837,hc_7_q137.png,RC,RX,VC,VH,VX,RC,"Q18 Style: Top=sector_pos, Bot=shading"
hc_838,hc_7_q138.png,BH,BL,RH,RJ,YL,RH,"Q18 Style: Top=sector_pos, Bot=shading"
hc_839,hc_7_q139.png,LG,LU,NG,PE,PG,PG,"Q18 Style: Top=sector_pos, Bot=shading"
hc_840,hc_7_q140.png,MD,MQ,UF,UQ,ZD,ZD,"Q18 Style: Top=sector_pos, Bot=shading"
hc_841,hc_7_q141.png,BD,BQ,HD,PD,PK,BD,"Q18 Style: Top=sector_pos, Bot=shading"
hc_842,hc_7_q142.png,BR,BY,GD,GY,UY,GY,"Q18 Style: Top=sector_pos, Bot=shading"
hc_843,hc_7_q143.png,AW,BF,BW,JF,JW,AW,"Q18 Style: Top=sector_pos, Bot=shading"
hc_844,hc_7_q144.png,FK,FY,GZ,TY,TZ,TZ,"Q18 Style: Top=sector_pos, Bot=shading"
hc_845,hc_7_q145.png,BY,EA,EQ,LA,LQ,LA,"Q18 Style: Top=sector_pos, Bot=shading"
hc_846,hc_7_q146.png,BJ,PD,PJ,YD,YJ,YD,"Q18 Style: Top=sector_pos, Bot=shading"
hc_847,hc_7_q147.png,AN,AS,GS,GX,HX,HX,"Q18 Style: Top=sector_pos, Bot=shading"
hc_848,hc_7_q148.png,AB,AE,AG,KB,KG,AE,"Q18 Style: Top=sector_pos, Bot=shading"
hc_849,hc_7_q149.png,CM,EH,YH,YM,YV,YM,"Q18 Style: Top=sector_pos, Bot=shading"
hc_850,hc_7_q150.png,EU,EY,LU,XC,XU,XU,"Q18 Style: Top=sector_pos, Bot=shading"
hc_851,hc_8_q1.png,MF,MS,XE,ZF,ZS,ZS,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_852,hc_8_q2.png,KF,KL,KN,PF,ZL,KL,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_853,hc_8_q3.png,KB,KJ,KN,YB,YN,KJ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_854,hc_8_q4.png,PJ,PL,PR,QR,ZL,QR,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_855,hc_8_q5.png,MG,MR,TG,TR,TU,MR,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_856,hc_8_q6.png,FJ,FX,LK,PK,PX,PX,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_857,hc_8_q7.png,JX,MF,MZ,PF,PZ,PZ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_858,hc_8_q8.png,FG,FN,PG,PM,TN,FG,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_859,hc_8_q9.png,KA,LN,LX,RA,RX,RX,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_860,hc_8_q10.png,CA,GQ,GV,NQ,NV,GQ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_861,hc_8_q11.png,EA,EN,ET,FA,JT,EA,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_862,hc_8_q12.png,CD,CH,ND,NH,PV,CH,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_863,hc_8_q13.png,KL,KP,ML,MX,VP,KP,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_864,hc_8_q14.png,JW,PB,PW,YB,YW,YW,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_865,hc_8_q15.png,AH,AN,RN,RT,XH,XH,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_866,hc_8_q16.png,GD,GV,LD,LN,SN,SN,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_867,hc_8_q17.png,FJ,FS,PS,VB,VS,PS,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_868,hc_8_q18.png,GJ,GS,HJ,MP,MS,HJ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_869,hc_8_q19.png,GA,GC,QC,RA,RC,QC,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_870,hc_8_q20.png,AK,EB,EK,QB,QK,AK,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_871,hc_8_q21.png,DG,DY,NA,NG,XA,NA,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_872,hc_8_q22.png,DM,HM,HR,UM,UR,DM,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_873,hc_8_q23.png,FA,FR,HR,UN,UR,HR,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_874,hc_8_q24.png,MF,PF,PS,ZS,ZV,ZS,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_875,hc_8_q25.png,AB,CL,CT,UB,UT,AB,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_876,hc_8_q26.png,MN,MR,WL,WN,WR,MR,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_877,hc_8_q27.png,CE,CN,HQ,KE,KN,KE,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_878,hc_8_q28.png,AU,AW,HV,KU,KV,KV,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_879,hc_8_q29.png,DE,DR,DS,QR,QS,DS,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_880,hc_8_q30.png,CL,SF,SH,XF,XH,XF,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_881,hc_8_q31.png,BA,BJ,LD,LJ,PJ,LD,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_882,hc_8_q32.png,GF,GZ,KF,SD,SF,KF,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_883,hc_8_q33.png,RB,TB,TN,YB,YN,TN,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_884,hc_8_q34.png,CH,CM,EH,SH,SM,EH,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_885,hc_8_q35.png,ED,EH,GD,GP,XH,XH,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_886,hc_8_q36.png,MA,MH,MP,TA,YA,TA,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_887,hc_8_q37.png,FL,FM,FR,PL,SM,FM,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_888,hc_8_q38.png,FN,GN,VB,VN,VT,GN,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_889,hc_8_q39.png,EL,EZ,FL,FZ,WZ,WZ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_890,hc_8_q40.png,GK,YK,YN,YS,ZK,ZK,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_891,hc_8_q41.png,MF,WF,XF,XN,XY,XY,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_892,hc_8_q42.png,CZ,NM,NZ,PM,PT,PT,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_893,hc_8_q43.png,FJ,FZ,HZ,LV,LZ,HZ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_894,hc_8_q44.png,BA,BJ,RJ,VJ,VQ,VQ,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_895,hc_8_q45.png,CJ,SE,SR,YJ,YR,SR,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_896,hc_8_q46.png,BD,BM,LE,LM,RM,BM,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_897,hc_8_q47.png,FK,FZ,MK,VU,VZ,VU,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_898,hc_8_q48.png,AC,ND,NZ,XD,XZ,AC,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_899,hc_8_q49.png,TD,TQ,WV,XQ,XV,TD,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_900,hc_8_q50.png,GC,HA,HU,ZA,ZC,GC,"Q19 Style: Top=size_cat, Bot=dot_pos"
hc_901,hc_8_q51.png,JK,JL,SF,SK,SL,JL,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_902,hc_8_q52.png,JC,PB,PC,PK,XB,XB,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_903,hc_8_q53.png,FA,FP,MP,YA,YW,MP,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_904,hc_8_q54.png,JW,LW,RU,RW,RX,RU,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_905,hc_8_q55.png,CE,CS,CY,QS,ZS,QS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_906,hc_8_q56.png,DM,GJ,GM,UA,UJ,GJ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_907,hc_8_q57.png,CS,CT,QT,WS,WT,CS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_908,hc_8_q58.png,BD,BG,BY,FG,SG,BY,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_909,hc_8_q59.png,QG,QV,SG,SZ,WG,SG,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_910,hc_8_q60.png,DA,DW,KA,KL,KW,KL,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_911,hc_8_q61.png,AP,LH,LP,YH,YX,LP,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_912,hc_8_q62.png,QJ,QW,YT,YW,ZW,QJ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_913,hc_8_q63.png,MG,MR,PG,PR,SU,PR,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_914,hc_8_q64.png,JU,JW,JY,LY,MW,LY,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_915,hc_8_q65.png,BY,FQ,MQ,MX,MY,MQ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_916,hc_8_q66.png,CY,DH,DW,DY,GH,GH,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_917,hc_8_q67.png,DE,DF,DP,HF,LP,LP,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_918,hc_8_q68.png,LF,MV,MX,SV,SX,MX,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_919,hc_8_q69.png,GN,HD,HN,HU,TN,HN,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_920,hc_8_q70.png,GV,ML,MV,XL,XP,GV,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_921,hc_8_q71.png,DM,DQ,YF,YM,YQ,YM,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_922,hc_8_q72.png,BL,BP,BS,DL,DP,BS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_923,hc_8_q73.png,BJ,HF,HT,ZF,ZJ,ZJ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_924,hc_8_q74.png,JL,JN,QB,QL,ZN,QL,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_925,hc_8_q75.png,CA,CG,FG,TA,TG,CA,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_926,hc_8_q76.png,KF,LF,LN,UN,UX,LF,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_927,hc_8_q77.png,FE,FN,FU,HE,VN,HE,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_928,hc_8_q78.png,EF,ER,NF,NG,NR,NF,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_929,hc_8_q79.png,FQ,FY,HQ,HS,TY,HQ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_930,hc_8_q80.png,DC,DH,GC,GH,XK,GH,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_931,hc_8_q81.png,AL,AM,WL,WM,WN,AL,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_932,hc_8_q82.png,PJ,PM,UJ,UL,WM,PM,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_933,hc_8_q83.png,AG,AZ,EG,EZ,HG,EZ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_934,hc_8_q84.png,DM,DS,DW,GS,GW,GS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_935,hc_8_q85.png,AS,AX,HX,KD,KS,AS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_936,hc_8_q86.png,HL,HN,QL,QN,YP,QN,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_937,hc_8_q87.png,FD,FW,RE,ZE,ZW,ZE,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_938,hc_8_q88.png,FZ,SY,XB,XY,XZ,SY,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_939,hc_8_q89.png,DG,DH,DM,ZG,ZH,ZH,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_940,hc_8_q90.png,CV,DH,DV,WL,WV,CV,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_941,hc_8_q91.png,EA,EG,SG,VA,VG,VG,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_942,hc_8_q92.png,GF,GL,HF,HL,SF,SF,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_943,hc_8_q93.png,BP,CG,CX,DG,DX,CG,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_944,hc_8_q94.png,RS,RT,XF,YS,YT,YS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_945,hc_8_q95.png,KH,QR,QV,TR,TV,QR,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_946,hc_8_q96.png,DA,DF,MS,TA,TS,MS,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_947,hc_8_q97.png,HQ,NG,NJ,PG,PQ,NJ,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_948,hc_8_q98.png,PG,PH,PR,VG,YR,VG,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_949,hc_8_q99.png,QB,VL,VY,ZB,ZL,ZL,"Q20 Style: Top=line_dir, Bot=size_cat"
hc_950,hc_8_q100.png,DB,FG,FR,NG,NR,FG,"Q20 Style: Top=line_dir, Bot=size_cat"
